,F1,Time,Precision,Recall
Logistic Regression,0.556103501869,13.0608780384,0.558555788579,0.558941033049
Decision Tree Classifier,0.469414080526,19.8509299755,0.472757970814,0.47112555576
SVM,0.535727434434,13.0531499386,0.536285966511,0.53764152683
KNN,0.411341238522,13.5915448666,0.420098012278,0.421852705555
Multinomial Naive Bayes,0.539453019027,12.1338529587,0.544272625183,0.541296637777
