,F1,Time,Precision,Recall
Logistic Regression,0.556103501869,12.6765291691,0.558555788579,0.558941033049
Decision Tree Classifier,0.471224913408,18.4633820057,0.474724320603,0.472824492388
SVM,0.535727434434,12.0163750648,0.536285966511,0.53764152683
KNN,0.411341238522,12.2457089424,0.420098012278,0.421852705555
Multinomial Naive Bayes,0.539453019027,11.3357961178,0.544272625183,0.541296637777
